Parent Type,Parent ID,SubSite ID,SubSite Name,SubSite Name(Arabic),SubSite Description,SubSite Location(Descriptive),SubSite Location(Coordinates - Dec),SubSite Location(Coordinates - Deg),SubSite Location(Google Link),Main Process / Equipment
Site,PS5,MA_PS5_RTU_77,Ri Al Kohol pump,,,,"21.426444, 39.802639",,https://goo.gl/maps/bo4758uyNTieK1Vv9,
Site,PS5,MA_PS5_RTU_86,Al Gasaz Pump,,,,"21.4497401,39.8608025",,,
Site,PS5,MA_PS5_RTU_88,Al Jowhara Pump,,,,"21.3886405,39.8390627",,,
Site,PS5,MA_PS5_RTU_91,Al Hafayir 2 Pump,,,,"21.4021983,39.8206345",,,
Site,PS5,MA_PS5_RTU_92,Al Fayhaa Pump,,,,"21.4031,39.8243",,,
Site,PS5,MA_PS5_RTU_93,Rea Bakhch Pump,,,,"21.3754088,39.7878832",,,
Site,PS5,MA_PS5_SAPT,Sapetco,,,,,,,
Site,PS5,MA_PS5_SOQ1,Soq Alsgheer _1,,,,,,,
Site,PS5,MA_PS5_SOQ2,Soq Alsgheer _2,,,,,,,
Site,PS5,MA_PS5_WALBS,Wadi Jalyel Booster,,,,,,,
