Vendor Name,Generalized Software Name,Software Name,Software Version
AVEVA,Schneider Electric,InTouch OMI,17.3.100
McAfee,McAfee,McAfee Data Exchange Layer for MA,6.0.204.0
AVEVA,Wonderware,Wonderware Auto-Build Core,1.3.0
AVEVA,Schneider Electric,InTouch OMI - SDK,17.3.100
McAfee,McAfee,McAfee Endpoint Security Platform,10.7.0
AVEVA,Wonderware,HistorianClientDocs,17.3.100
AVEVA,Schneider Electric,InTouch OMI - LiveMode Base Applications,17.3.100
AVEVA,Schneider Electric,InTouch OMI - Base Applications,17.3.100
AVEVA,Wonderware,Wonderware Operations Integration - Core Communications Driver (G-3.0 Series),6.0.0
AVEVA,Wonderware,InTouch OMI - Mobile Access,17.3.100
AVEVA,Schneider Electric,InTouch OMI - GR Development Toolkit,17.3.100
Microsoft Corporation,Microsoft 365,Microsoft 365 Apps for business - en-us,16.0.14701.20262
Microsoft Corporation,Edge,Microsoft Edge,96.0.1054.62
