Title,Document Number,Version,Date,Description,Category,Sub Category,File
JCBU FAS EPP McAfee Exported Systems,JCBU_FAS_EPP_McAfee_Exported_Systems,0,28-Feb-22,,Evidence,,JCBU_FAS_EPP_McAfee_Exported_Systems.pdf
JCBU FAS EPP McAfee Products,JCBU_FAS_EPP_McAfee_Products,0,28-Feb-22,,Evidence,,JCBU_FAS_EPP_McAfee_Products.PNG
JCBU FAS FW JD-FAS-OT-FW-01 02 IPSec Tunnels,JCBU_FAS_FW_JD-FAS-OT-FW-01_02_IPSec Tunnels,0,28-Feb-22,,Evidence,,JCBU_FAS_FW_JD-FAS-OT-FW-01_02_IPSec Tunnels.PNG
JCBU FAS FW JD-FAS-OT-FW-01 02 PAN,JCBU_FAS_FW_JD-FAS-OT-FW-01_02_PAN,0,28-Feb-22,,Evidence,,JCBU_FAS_FW_JD-FAS-OT-FW-01_02_PAN.PNG
JCBU FAS FW JD-FAS-OT-FW-01 02 Policies,JCBU_FAS_FW_JD-FAS-OT-FW-01_02_Policies,0,28-Feb-22,,Evidence,,JCBU_FAS_FW_JD-FAS-OT-FW-01_02_Policies.PNG
JCBU FAS FW JD-FAS-OT-FW-01 02 Zones,JCBU_FAS_FW_JD-FAS-OT-FW-01_02_Zones,0,28-Feb-22,,Evidence,,JCBU_FAS_FW_JD-FAS-OT-FW-01_02_Zones.PNG
JCBU FAS JDOTFASADM02 WSUS,JCBU_FAS_JDOTFASADM02_WSUS,0,28-Feb-22,,Evidence,,JCBU_FAS_JDOTFASADM02_WSUS.PNG
JCBU FAS NW NWSW JD-FAS-OT-SW-01 Ports,JCBU_FAS_NW_NWSW_JD-FAS-OT-SW-01_Ports,0,28-Feb-22,,Evidence,,JCBU_FAS_NW_NWSW_JD-FAS-OT-SW-01_Ports.PNG
JCBU FAS VIR JDOTFASADM01 VMConfig,JCBU_FAS_VIR_JDOTFASADM01_VMConfig,0,28-Feb-22,,Evidence,,JCBU_FAS_VIR_JDOTFASADM01_VMConfig.PNG
JCBU FAS VIR JDOTFASADM02 VMConfig,JCBU_FAS_VIR_JDOTFASADM02_VMConfig,0,28-Feb-22,,Evidence,,JCBU_FAS_VIR_JDOTFASADM02_VMConfig.PNG
JCBU FAS VMD JD-FAS-OT-VMD-01 AD Integration,JCBU_FAS_VMD_JD-FAS-OT-VMD-01_AD Integration,0,28-Feb-22,,Evidence,,JCBU_FAS_VMD_JD-FAS-OT-VMD-01_AD Integration.PNG
JCBU FAS VMD JD-FAS-OT-VMD-01 CMC Connection,JCBU_FAS_VMD_JD-FAS-OT-VMD-01_CMC Connection,0,28-Feb-22,,Evidence,,JCBU_FAS_VMD_JD-FAS-OT-VMD-01_CMC Connection.PNG
JCBU FAS VMD JD-FAS-OT-VMD-01 Computers,JCBU_FAS_VMD_JD-FAS-OT-VMD-01_Computers,0,28-Feb-22,,Evidence,,JCBU_FAS_VMD_JD-FAS-OT-VMD-01_Computers.PNG
JCBU FAS VMD JD-FAS-OT-VMD-01 L1 Devices,JCBU_FAS_VMD_JD-FAS-OT-VMD-01_L1 Devices,0,28-Feb-22,,Evidence,,JCBU_FAS_VMD_JD-FAS-OT-VMD-01_L1 Devices.PNG
JCBU FAS VMD JD-FAS-OT-VMD-01 Licenses,JCBU_FAS_VMD_JD-FAS-OT-VMD-01_Licenses,0,28-Feb-22,,Evidence,,JCBU_FAS_VMD_JD-FAS-OT-VMD-01_Licenses.PNG
JCBU FAS VMD JD-FAS-OT-VMD-01 Network Devices,JCBU_FAS_VMD_JD-FAS-OT-VMD-01_Network Devices,0,28-Feb-22,,Evidence,,JCBU_FAS_VMD_JD-FAS-OT-VMD-01_Network Devices.PNG
JCBU FAS VMD JD-PSB-OT-VMD-01 AD Integration,JCBU_FAS_VMD_JD-PSB-OT-VMD-01_AD_Integration,0,28-Feb-22,,Evidence,,JCBU_FAS_VMD_JD-PSB-OT-VMD-01_AD_Integration.PNG
JCBU FAS VMD JD-PSB-OT-VMD-01 CMC Connection,JCBU_FAS_VMD_JD-PSB-OT-VMD-01_CMC Connection,0,28-Feb-22,,Evidence,,JCBU_FAS_VMD_JD-PSB-OT-VMD-01_CMC Connection.PNG
JCBU FAS VMD JD-PSB-OT-VMD-01 Computers,JCBU_FAS_VMD_JD-PSB-OT-VMD-01_Computers,0,28-Feb-22,,Evidence,,JCBU_FAS_VMD_JD-PSB-OT-VMD-01_Computers.PNG
JCBU FAS VMD JD-PSB-OT-VMD-01 Network Devices,JCBU_FAS_VMD_JD-PSB-OT-VMD-01_Network Devices,0,28-Feb-22,,Evidence,,JCBU_FAS_VMD_JD-PSB-OT-VMD-01_Network Devices.PNG
JCBU PSB AD JDOTFASADM02 RDG GPO Applied,JCBU_PSB_AD_JDOTFASADM02_RDG_GPO_Applied,0,28-Feb-22,,Evidence,,JCBU_PSB_AD_JDOTFASADM02_RDG_GPO_Applied.PNG
JCBU PSB AD JPROSCDEWS003 GPOs Applied,JCBU_PSB_AD_JPROSCDEWS003_GPOs_Applied,0,28-Feb-22,,Evidence,,JCBU_PSB_AD_JPROSCDEWS003_GPOs_Applied.PNG
JCBU PSB AD JPROSCDEWS003 Joined,JCBU_PSB_AD_JPROSCDEWS003_Joined,0,28-Feb-22,,Evidence,,JCBU_PSB_AD_JPROSCDEWS003_Joined.PNG
JCBU PSB AD JPROSCDEWS003 WSUS GPOs Applied,JCBU_PSB_AD_JPROSCDEWS003_WSUS_GPOs_Applied,0,28-Feb-22,,Evidence,,JCBU_PSB_AD_JPROSCDEWS003_WSUS_GPOs_Applied.PNG
JCBU PSB EPP Exported Systems,JCBU_PSB_EPP_Exported_Systems,0,28-Feb-22,,Evidence,,JCBU_PSB_EPP_Exported_Systems.pdf
JCBU PSB EPP McAfee Agent,JCBU_PSB_EPP_McAfee_Agent,0,28-Feb-22,,Evidence,,JCBU_PSB_EPP_McAfee_Agent.PNG
JCBU PSB EPP McAfee DLP,JCBU_PSB_EPP_McAfee_DLP,0,28-Feb-22,,Evidence,,JCBU_PSB_EPP_McAfee_DLP.PNG
JCBU PSB EPP McAfee Products,JCBU_PSB_EPP_McAfee_Products,0,28-Feb-22,,Evidence,,JCBU_PSB_EPP_McAfee_Products.PNG
JCBU PSB FW JD-PSB-OT-FW-01 PAN,JCBU_PSB_FW_JD-PSB-OT-FW-01_PAN,0,28-Feb-22,,Evidence,,JCBU_PSB_FW_JD-PSB-OT-FW-01_PAN.PNG
JCBU PSB FW JD-PSB-OT-FW-01 Zones,JCBU_PSB_FW_JD-PSB-OT-FW-01_Zones,0,28-Feb-22,,Evidence,,JCBU_PSB_FW_JD-PSB-OT-FW-01_Zones.PNG
JCBU PSB FW-JD-PSB-OT-FW-01 IPSec Tunnels,JCBU_PSB_FW-JD-PSB-OT-FW-01_IPSec Tunnels,0,28-Feb-22,,Evidence,,JCBU_PSB_FW-JD-PSB-OT-FW-01_IPSec Tunnels.PNG
JCBU PSB NW JD-PSB-OT-SW-01 Ports,JCBU_PSB_NW_JD-PSB-OT-SW-01_Ports,0,28-Feb-22,,Evidence,,JCBU_PSB_NW_JD-PSB-OT-SW-01_Ports.PNG
JCBU PSB NW JD-PSB-OT-SW-02 Ports,JCBU_PSB_NW_JD-PSB-OT-SW-02_Ports,0,28-Feb-22,,Evidence,,JCBU_PSB_NW_JD-PSB-OT-SW-02_Ports.PNG
JCBU PSB NW JD-PSB-OT-SW-03 Ports,JCBU_PSB_NW_JD-PSB-OT-SW-03_Ports,0,28-Feb-22,,Evidence,,JCBU_PSB_NW_JD-PSB-OT-SW-03_Ports.PNG
RCBU BWB-WTP AD GPOs Applied,RCBU_BWB-WTP_AD_GPOs_Applied,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_AD_GPOs_Applied.PNG
RCBU BWB-WTP AD OWS,RCBU_BWB-WTP_AD_OWS,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_AD_OWS.PNG
RCBU BWB-WTP AD RDG GPO Applied,RCBU_BWB-WTP_AD_RDG_GPO_Applied,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_AD_RDG_GPO_Applied.PNG
RCBU BWB-WTP AD RPROBWBSCDINSQL Joined (2),RCBU_BWB-WTP_AD_RPROBWBSCDINSQL_Joined (2),0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_AD_RPROBWBSCDINSQL_Joined (2).PNG
RCBU BWB-WTP AD RPROBWBSCDINSQL Joined,RCBU_BWB-WTP_AD_RPROBWBSCDINSQL_Joined,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_AD_RPROBWBSCDINSQL_Joined.PNG
RCBU BWB-WTP AD SCADA Servers,RCBU_BWB-WTP_AD_SCADA_Servers,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_AD_SCADA_Servers.PNG
RCBU BWB-WTP AD WSUS GPO Applied,RCBU_BWB-WTP_AD_WSUS_GPO_Applied,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_AD_WSUS_GPO_Applied.PNG
RCBU BWB-WTP EPP ExportedSystems,RCBU_BWB-WTP_EPP_ExportedSystems,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_EPP_ExportedSystems.pdf
RCBU BWB-WTP EPP McAfee Client,RCBU_BWB-WTP_EPP_McAfee_Client,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_EPP_McAfee_Client.PNG
RCBU BWB-WTP EPP McAfee DLP,RCBU_BWB-WTP_EPP_McAfee_DLP,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_EPP_McAfee_DLP.PNG
RCBU BWB-WTP EPP McAfee Products,RCBU_BWB-WTP_EPP_McAfee_Products,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_EPP_McAfee_Products.PNG
RCBU BWB-WTP FW RD-BWB-WTP-OT-FW-01 PAN,RCBU_BWB-WTP_FW_RD-BWB-WTP-OT-FW-01_PAN,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_FW_RD-BWB-WTP-OT-FW-01_PAN.PNG
RCBU BWB-WTP FW RD-BWB-WTP-OT-FW-01 Policy,RCBU_BWB-WTP_FW_RD-BWB-WTP-OT-FW-01_Policy,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_FW_RD-BWB-WTP-OT-FW-01_Policy.PNG
RCBU BWB-WTP FW RD-BWB-WTP-OT-FW-01 Tunnels,RCBU_BWB-WTP_FW_RD-BWB-WTP-OT-FW-01_Tunnels,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_FW_RD-BWB-WTP-OT-FW-01_Tunnels.PNG
RCBU BWB-WTP FW RD-BWB-WTP-OT-FW-01 Zones,RCBU_BWB-WTP_FW_RD-BWB-WTP-OT-FW-01_Zones,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_FW_RD-BWB-WTP-OT-FW-01_Zones.PNG
RCBU BWB-WTP FW RD-BWB-WTP-OT-SW-01 Ports,RCBU_BWB-WTP_FW_RD-BWB-WTP-OT-SW-01_Ports,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_FW_RD-BWB-WTP-OT-SW-01_Ports.PNG
RCBU BWB-WTP VMD RD-BWB-WTP-OT-VMD-01 CMC Connection,RCBU_BWB-WTP_VMD_RD-BWB-WTP-OT-VMD-01_CMC Connection,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_VMD_RD-BWB-WTP-OT-VMD-01_CMC Connection.PNG
RCBU BWB-WTP VMD RD-BWB-WTP-OT-VMD-01 Computers,RCBU_BWB-WTP_VMD_RD-BWB-WTP-OT-VMD-01_Computers,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_VMD_RD-BWB-WTP-OT-VMD-01_Computers.PNG
RCBU BWB-WTP VMD RD-BWB-WTP-OT-VMD-01 L0-1,RCBU_BWB-WTP_VMD_RD-BWB-WTP-OT-VMD-01_L0-1,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_VMD_RD-BWB-WTP-OT-VMD-01_L0-1.PNG
RCBU BWB-WTP VMD RD-BWB-WTP-OT-VMD-01 Networks,RCBU_BWB-WTP_VMD_RD-BWB-WTP-OT-VMD-01_Networks,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_VMD_RD-BWB-WTP-OT-VMD-01_Networks.PNG
RCBU BWB-WTP WSUS RDOTET10ADM02,RCBU_BWB-WTP_WSUS_RDOTET10ADM02,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_WSUS_RDOTET10ADM02.PNG
RCBU BWB-WTP WSUS RPROBWBSCDINSQL GPO Applied,RCBU_BWB-WTP_WSUS_RPROBWBSCDINSQL_GPO_Applied,0,28-Feb-22,,Evidence,,RCBU_BWB-WTP_WSUS_RPROBWBSCDINSQL_GPO_Applied.PNG
RCBU EX-10 AD RCBU HMI 08 Joined,RCBU_EX-10_AD_RCBU_HMI_08_Joined,0,28-Feb-22,,Evidence,,RCBU_EX-10_AD_RCBU_HMI_08_Joined.PNG
RCBU EX-10 AD RTOTET10ADM01 DNS,RCBU_EX-10_AD_RTOTET10ADM01_DNS,0,28-Feb-22,,Evidence,,RCBU_EX-10_AD_RTOTET10ADM01_DNS.PNG
