Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Asset Firmware,Redundant Asset Pair ID (If Applicable),Connected SCADA Server,Asset Contact Person,Asset Parent ID,Comments
SubSite,MA_PS5_C3-44,MA_PS5_C3_344_DL,C3_344_DL,Buhairat Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132022,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-45,MA_PS5_C3_345_DL,C3_345_DL,Buhairat Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132960,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-46,MA_PS5_C3_346_DL,C3_346_DL,Buhairat Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132065,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-47,MA_PS5_C3_347_DL,C3_347_DL,Tan'Eem 2- Umrah Masjid Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132017,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-48,MA_PS5_C3_348_DL,C3_348_DL,Tan'Eem 2- Umrah Masjid Data Logger,Data logger - Pressure sensor,Sofrel,,,4191133085,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-49,MA_PS5_C3_349_DL,C3_349_DL,Tan'Eem 1- Umrah Masjid Data Logger,Data logger - Pressure sensor,Sofrel,,,4191134463,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-50,MA_PS5_C3_350_DL,C3_350_DL,Tan'Eem 1- Umrah Masjid Data Logger,Data logger - Pressure sensor,Sofrel,,,4191133082,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-51,MA_PS5_C3_351_DL,C3_351_DL,Abu Maragh Data Logger,Data logger - Pressure sensor,Sofrel,,,4191140094,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-52,MA_PS5_C3_352_DL,C3_352_DL,Abu Maragh Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132054,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
SubSite,MA_PS5_C3-53,MA_PS5_C3_353_DL,C3_353_DL,Abu Maragh Data Logger,Data logger - Pressure sensor,Sofrel,,,4191132683,Z_MA_PS5_DL,V5.30.10.11,,MAKKAH_NWC FR4000,,,
